Package,Upload,List
Microsoft.NETCore.ConsoleHost-x86,n,n
Microsoft.NETCore.Portable.Compatibility,n,n
Microsoft.NETCore.Runtime,n,n
Microsoft.NETCore.Runtime.CoreCLR-x64,n,n
Microsoft.NETCore.Runtime.CoreCLR-x86,n,n
Microsoft.NETCore.Runtime.Native,n,n
Microsoft.NETCore.Targets,n,n
Microsoft.NETCore.TestHost-x64,n,n
Microsoft.NETCore.TestHost-x86,n,n
Microsoft.NETCore.UniversalWindowsPlatform,n,n
Microsoft.NETCore.Windows.ApiSets-x64,n,n
Microsoft.NETCore.Windows.ApiSets-x86,n,n
Microsoft.VisualBasic,n,n
Microsoft.Win32.Primitives,n,n
Microsoft.Win32.Registry,n,n
Microsoft.Win32.Registry.AccessControl,n,n
PageGenerator,n,n
StyleCop.KRules,n,n
System.AppContext,n,n
System.Collections,n,n
System.Collections.Concurrent,n,n
System.Collections.NonGeneric,n,n
System.Collections.Specialized,n,n
System.ComponentModel,n,n
System.ComponentModel.Annotations,n,n
System.ComponentModel.EventBasedAsync,n,n
System.ComponentModel.Primitives,n,n
System.ComponentModel.TypeConverter,n,n
System.Console,n,n
System.Data.Common,n,n
System.Data.SqlClient,n,n
System.Data.SqlClient.sni-x64,n,n
System.Data.SqlClient.sni-x86,n,n
System.Diagnostics.Contracts,n,n
System.Diagnostics.Debug,n,n
System.Diagnostics.FileVersionInfo,n,n
System.Diagnostics.Process,n,n
System.Diagnostics.StackTrace,n,n
System.Diagnostics.TextWriterTraceListener,n,n
System.Diagnostics.Tools,n,n
System.Diagnostics.TraceSource,n,n
System.Diagnostics.Tracing,n,n
System.Dynamic.Runtime,n,n
System.Globalization,n,n
System.Globalization.Calendars,n,n
System.Globalization.Extensions,n,n
System.IO,n,n
System.IO.Compression,n,n
System.IO.Compression.clrcompression-x64,n,n
System.IO.Compression.clrcompression-x86,n,n
System.IO.Compression.ZipFile,n,n
System.IO.FileSystem,n,n
System.IO.FileSystem.AccessControl,n,n
System.IO.FileSystem.DriveInfo,n,n
System.IO.FileSystem.Primitives,n,n
System.IO.FileSystem.Watcher,n,n
System.IO.IsolatedStorage,n,n
System.IO.MemoryMappedFiles,n,n
System.IO.Pipes,n,n
System.IO.UnmanagedMemoryStream,n,n
System.Linq,n,n
System.Linq.Expressions,n,n
System.Linq.Parallel,n,n
System.Linq.Queryable,n,n
System.Net.Http,n,n
System.Net.Http.Rtc,n,n
System.Net.Http.WinHttpHandler,n,n
System.Net.NameResolution,n,n
System.Net.NetworkInformation,n,n
System.Net.Primitives,n,n
System.Net.Requests,n,n
System.Net.Security,n,n
System.Net.Sockets,n,n
System.Net.Utilities,n,n
System.Net.WebHeaderCollection,n,n
System.Net.WebSockets,n,n
System.Net.WebSockets.Client,n,n
System.Numerics.Vectors,n,n
System.ObjectModel,n,n
System.Private.DataContractSerialization,n,n
System.Private.Networking,n,n
System.Private.ServiceModel,n,n
System.Private.Uri,n,n
System.Reflection,n,n
System.Reflection.Context,n,n
System.Reflection.DispatchProxy,n,n
System.Reflection.Emit,n,n
System.Reflection.Emit.ILGeneration,n,n
System.Reflection.Emit.Lightweight,n,n
System.Reflection.Extensions,n,n
System.Reflection.Primitives,n,n
System.Reflection.TypeExtensions,n,n
System.Resources.ReaderWriter,n,n
System.Resources.ResourceManager,n,n
System.Runtime,n,n
System.Runtime.CompilerServices.VisualC,n,n
System.Runtime.Extensions,n,n
System.Runtime.Handles,n,n
System.Runtime.InteropServices,n,n
System.Runtime.InteropServices.WindowsRuntime,n,n
System.Runtime.Loader,n,n
System.Runtime.Numerics,n,n
System.Runtime.Serialization.Json,n,n
System.Runtime.Serialization.Primitives,n,n
System.Runtime.Serialization.Xml,n,n
System.Runtime.WindowsRuntime,n,n
System.Runtime.WindowsRuntime,n,n
System.Runtime.WindowsRuntime.UI.Xaml,n,n
System.Security.AccessControl,n,n
System.Security.Claims,n,n
System.Security.Cryptography.DeriveBytes,n,n
System.Security.Cryptography.Encoding,n,n
System.Security.Cryptography.Encryption,n,n
System.Security.Cryptography.Encryption.Aes,n,n
System.Security.Cryptography.Hashing,n,n
System.Security.Cryptography.Hashing.Algorithms,n,n
System.Security.Cryptography.RandomNumberGenerator,n,n
System.Security.Cryptography.RSA,n,n
System.Security.Cryptography.X509Certificates,n,n
System.Security.Principal,n,n
System.Security.Principal.Windows,n,n
System.Security.SecureString,n,n
System.ServiceModel.Duplex,n,n
System.ServiceModel.Http,n,n
System.ServiceModel.NetTcp,n,n
System.ServiceModel.Primitives,n,n
System.ServiceModel.Security,n,n
System.ServiceProcess.ServiceController,n,n
System.Text.Encoding,n,n
System.Text.Encoding.CodePages,n,n
System.Text.Encoding.Extensions,n,n
System.Text.RegularExpressions,n,n
System.Threading,n,n
System.Threading.AccessControl,n,n
System.Threading.Overlapped,n,n
System.Threading.Tasks,n,n
System.Threading.Tasks.Parallel,n,n
System.Threading.Thread,n,n
System.Threading.ThreadPool,n,n
System.Threading.Timer,n,n
System.Xml.ReaderWriter,n,n
System.Xml.XDocument,n,n
System.Xml.XmlDocument,n,n
System.Xml.XmlSerializer,n,n
System.Xml.XPath,n,n
System.Xml.XPath.XDocument,n,n
System.Xml.XPath.XmlDocument,n,n
xunit.execution.AspNet,n,n
xunit.runner.aspnet,n,n
xunit.runner.utility.AspNet,n,n
